Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	-4	28.3586	97.0317	123.938	
1	13	28.3629	97.0318	123.911	
1	29	28.399	97.0193	123.797	
1	46	28.3539	97.035	123.844	
1	63	28.3033	97.0607	123.943	
1	79	28.2988	97.005	123.94	
1	96	28.2952	96.997	123.878	
1	113	28.2587	97.0157	123.929	
1	129	28.2795	97.0609	123.891	
1	146	28.2736	97.0058	123.879	
1	163	28.2898	97.0522	123.86	
1	179	28.2415	97.0191	123.971	
1	196	28.2588	97.03	123.963	
1	213	28.2702	97.0158	123.964	
1	229	28.3093	97.0021	123.91	
1	246	28.294	96.9552	123.902	
1	263	28.3092	97.0212	123.921	
1	279	28.3034	96.9398	123.923	
1	296	28.2986	96.9644	123.911	
1	313	28.2602	96.9308	123.96	
1	329	28.3085	96.9534	123.861	
1	346	28.3019	96.8846	123.857	
1	363	28.3013	96.9365	123.904	
1	379	28.2878	96.9431	123.926	
1	396	28.3069	96.8937	123.917	
1	413	28.2922	96.847	123.924	
1	429	28.2698	96.8356	123.999	
1	446	28.3178	96.8442	124.005	
1	463	28.3397	96.7899	123.996	
1	479	28.3594	96.8198	124.006	
1	496	28.3556	96.7808	124.093	
1	513	28.4258	96.7542	123.996	
1	529	28.4118	96.667	124.033	
1	546	28.4073	96.7004	124.096	
1	563	28.4168	96.6358	124.098	
1	579	28.4686	96.6436	123.994	
1	596	28.4315	96.6265	124.036	
1	613	28.4466	96.6128	124.015	
1	629	28.4984	96.5845	123.982	
1	646	28.494	96.5401	124.002	
1	663	28.496	96.5512	124.054	
1	679	28.5088	96.4773	124.086	
1	696	28.5668	96.4864	124.06	
1	713	28.5368	96.4566	124.125	
1	729	28.5827	96.5023	124.084	
1	746	28.6144	96.4156	124.062	
1	763	28.6724	96.4099	124.034	
1	779	28.6331	96.3494	124.194	
1	796	28.7245	96.3869	124.19	
1	813	28.7525	96.2915	124.215	
1	829	28.825	96.3174	124.143	
1	846	28.8443	96.2315	124.211	
