Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	-4	31.4818	91.4482	124.557	
2	-4	29.9781	93.1425	123.675	
3	-4	25.525	95.1896	122.136	
4	-4	23.1233	95.2429	121.688	
5	-4	18.2995	93.4543	121.453	
6	-4	16.4566	91.8528	121.68	
7	-4	13.8851	87.3805	122.717	
8	-4	13.4406	85.0821	123.379	
9	-4	14.2267	80.1092	125.027	
10	-4	15.3457	78.1241	125.744	
11	-4	19.3304	74.9177	126.968	
12	-4	21.5439	74.2516	127.232	
13	-4	26.7141	74.8173	127.045	
14	-4	28.6928	75.9546	126.668	
15	-4	31.7144	80.0586	125.396	
16	-4	32.2858	82.2888	124.805	
17	-4	31.7415	87.438	123.752	
18	-4	30.7019	89.5955	123.528	
19	-4	27.0497	93.2767	123.85	
20	-4	24.914	94.23	124.453	
21	-4	19.7845	90.9487	120.303	
22	-4	17.2554	83.7921	113.815	

