Sensor_Positions_2.0
Sensor#	Time	X	Y	Z
1	-4	17.405	95.8458	119.525	
1	13	17.4062	95.8512	119.522	
1	29	17.4091	95.8502	119.532	
1	46	17.4083	95.8548	119.54	
1	63	17.4141	95.8523	119.549	
1	79	17.4081	95.8626	119.564	
1	96	17.3972	95.8657	119.58	
1	113	17.3977	95.8722	119.597	
1	129	17.3941	95.8767	119.614	
1	146	17.3956	95.8817	119.636	
1	163	17.401	95.8824	119.661	
1	179	17.4062	95.8864	119.682	
1	196	17.4014	95.8863	119.688	
1	213	17.4029	95.8905	119.69	
1	229	17.3941	95.8931	119.69	
1	246	17.3911	95.8958	119.691	
1	263	17.3824	95.8942	119.685	
1	279	17.3661	95.9007	119.677	
1	296	17.3591	95.9108	119.674	
1	313	17.3423	95.9158	119.672	
1	329	17.3283	95.9224	119.676	
1	346	17.3196	95.9352	119.681	
1	363	17.3102	95.9374	119.681	
1	379	17.2976	95.946	119.69	
1	396	17.2856	95.9545	119.699	
1	413	17.274	95.961	119.707	
1	429	17.2625	95.9724	119.712	
1	446	17.2636	95.977	119.716	
1	463	17.2445	95.9784	119.725	
1	479	17.243	95.9806	119.739	
1	496	17.2499	95.9824	119.743	
1	513	17.2496	95.9789	119.749	
1	529	17.2551	95.9857	119.754	
1	546	17.2481	95.9868	119.76	
1	563	17.2413	95.9911	119.761	
1	579	17.2392	95.9999	119.756	
1	596	17.2251	96.0028	119.751	
1	613	17.2224	96.0048	119.749	
1	629	17.2222	96.0046	119.758	
1	646	17.2275	96.0048	119.769	
1	663	17.2285	96.0075	119.783	
1	679	17.2249	96.0142	119.797	
1	696	17.2207	96.0182	119.812	
1	713	17.2131	96.0212	119.833	
1	729	17.2118	96.0263	119.852	
1	746	17.2175	96.0248	119.875	
1	763	17.226	96.0281	119.903	
1	779	17.2293	96.0304	119.924	
1	796	17.2297	96.0327	119.933	
1	813	17.2311	96.0356	119.934	
1	829	17.2264	96.0354	119.938	
1	846	17.218	96.0336	119.938	
1	863	17.2119	96.034	119.937	
1	879	17.2058	96.0415	119.928	
1	896	17.1929	96.0493	119.924	
1	913	17.1801	96.0562	119.924	
1	929	17.1806	96.0635	119.926	
1	946	17.1617	96.0672	119.93	
1	963	17.1395	96.0711	119.934	
1	979	17.1348	96.0824	119.938	
1	996	17.1273	96.0881	119.949	
1	1013	17.1119	96.1004	119.957	
1	1029	17.1019	96.1031	119.956	
1	1046	17.0983	96.1115	119.962	
1	1063	17.0849	96.1151	119.972	
1	1079	17.0859	96.1126	119.981	
1	1096	17.0856	96.1124	119.987	
1	1113	17.0886	96.1122	119.992	
1	1129	17.0911	96.1077	119.993	
1	1146	17.0862	96.1105	119.998	
1	1163	17.0777	96.109	119.994	
1	1179	17.0712	96.1105	119.988	
1	1196	17.0607	96.1122	119.983	
1	1213	17.065	96.111	119.981	
1	1229	17.0666	96.106	119.986	
1	1246	17.0712	96.1002	119.996	
1	1263	17.0757	96.0926	120.008	
1	1279	17.0739	96.0927	120.018	
1	1296	17.0757	96.0865	120.037	
1	1313	17.0784	96.0855	120.055	
1	1329	17.0909	96.0788	120.073	
1	1346	17.1046	96.0688	120.095	
1	1363	17.1134	96.0591	120.122	
1	1379	17.1345	96.046	120.141	
1	1396	17.1353	96.036	120.147	
1	1413	17.1528	96.0233	120.147	
1	1429	17.1574	96.0097	120.146	
1	1446	17.1688	95.9937	120.149	
1	1463	17.1831	95.9831	120.139	
1	1479	17.1897	95.9641	120.128	
1	1496	17.1988	95.9513	120.119	
1	1513	17.2072	95.9365	120.112	
1	1529	17.2221	95.9215	120.112	
1	1546	17.2382	95.9058	120.107	
1	1563	17.2547	95.892	120.104	
1	1579	17.2627	95.8692	120.102	
1	1596	17.2836	95.8533	120.106	
1	1613	17.306	95.8318	120.111	
1	1629	17.3331	95.8089	120.107	
1	1646	17.3635	95.7898	120.106	
1	1663	17.3937	95.7621	120.111	
1	1679	17.4202	95.7287	120.116	
1	1696	17.469	95.6954	120.113	
1	1713	17.5093	95.6654	120.113	
1	1729	17.5572	95.6267	120.112	
1	1746	17.5946	95.5952	120.108	
1	1763	17.6376	95.5637	120.099	
1	1779	17.6828	95.5313	120.084	
1	1796	17.7215	95.4943	120.074	
1	1813	17.7637	95.459	120.065	
1	1829	17.8118	95.4172	120.069	
1	1846	17.8705	95.3803	120.073	
1	1863	17.9218	95.3452	120.079	
1	1879	17.9658	95.3053	120.089	
1	1896	18.0187	95.2665	120.103	
1	1913	18.0698	95.2267	120.113	
1	1929	18.1224	95.1856	120.128	
1	1946	18.1868	95.1468	120.15	
1	1963	18.245	95.1015	120.169	
1	1979	18.3006	95.0642	120.187	
1	1996	18.3504	95.0217	120.186	
1	2013	18.4033	94.9799	120.182	
1	2029	18.4592	94.9425	120.175	
1	2046	18.5039	94.8977	120.166	
1	2063	18.5541	94.8538	120.155	
1	2079	18.5987	94.8191	120.141	
1	2096	18.6425	94.7813	120.123	
1	2113	18.679	94.7477	120.113	
1	2129	18.7238	94.7133	120.103	
1	2146	18.7666	94.6789	120.093	
1	2163	18.7987	94.6443	120.084	
1	2179	18.8384	94.6129	120.073	
1	2196	18.8823	94.5809	120.069	
1	2213	18.9217	94.5457	120.07	
1	2229	18.9641	94.5171	120.065	
1	2246	19.0006	94.4846	120.054	
1	2263	19.0485	94.4491	120.054	
1	2279	19.0993	94.4067	120.05	
1	2296	19.1519	94.3677	120.044	
1	2313	19.2102	94.3237	120.035	
1	2329	19.2623	94.285	120.027	
1	2346	19.3143	94.2485	120.016	
1	2363	19.3574	94.2146	119.999	
1	2379	19.4068	94.1801	119.977	
1	2396	19.4524	94.1438	119.961	
1	2413	19.4963	94.1074	119.951	
1	2429	19.5529	94.0673	119.944	
1	2446	19.6145	94.0302	119.943	
1	2463	19.6676	93.9919	119.945	
1	2479	19.7225	93.9559	119.951	
1	2496	19.778	93.9239	119.959	

