Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	-4	36.101	33.672	99.6942	
1	13	36.1021	33.6797	99.7485	
1	29	36.1315	33.6423	99.6991	
1	46	36.1404	33.668	99.7111	
1	63	36.1467	33.6654	99.7019	
1	79	36.1597	33.653	99.6984	
1	96	36.1715	33.6483	99.7152	
1	113	36.1682	33.642	99.68	
1	129	36.1458	33.7301	99.7866	
1	146	36.1564	33.7547	99.7584	
1	163	36.1488	33.7535	99.7101	
1	179	36.1272	33.7738	99.6808	
1	196	36.1282	33.7957	99.6842	
1	213	36.1408	33.7967	99.6553	
1	229	36.0978	33.8246	99.7067	
1	246	36.0942	33.9258	99.794	
1	263	36.1183	33.9012	99.7781	
1	279	36.1097	33.8988	99.7223	
1	296	36.1043	33.9705	99.7762	
1	313	36.1054	33.945	99.7528	
1	329	36.1277	33.9056	99.6565	
1	346	36.1137	33.9483	99.6857	
1	363	36.0961	34.0011	99.7397	
1	379	36.1024	34.0252	99.7941	
1	396	36.09	34.0197	99.7486	
1	413	36.065	34.0642	99.7633	
1	429	36.0639	34.037	99.6714	
1	446	36.0635	34.0545	99.6908	
1	463	36.0413	34.0686	99.6474	
1	479	36.0162	34.1466	99.7715	
1	496	36.0016	34.1703	99.7445	
1	513	35.9947	34.1467	99.7658	
1	529	36.0032	34.1457	99.7321	
1	546	35.9966	34.1459	99.7498	
1	563	35.9961	34.1546	99.726	
1	579	36.0084	34.1685	99.7921	
1	596	35.9984	34.1589	99.7865	
1	613	35.9863	34.1573	99.8737	
1	629	36.0105	34.0771	99.7791	
1	646	36.0178	34.051	99.8029	
1	663	36.0223	34.0474	99.8114	
1	679	36.036	34.0313	99.8613	
1	696	36.0498	34.0182	99.8961	
1	713	36.0342	34.0296	99.8951	
1	729	36.022	34.0166	99.9796	
1	746	36.0292	34.0118	99.9463	
1	763	36.0232	34.0231	99.9655	
1	779	36.0129	34.0096	99.9266	
1	796	36.0071	34.0332	100.022	
1	813	36.0223	33.9815	99.9626	
1	829	35.9975	33.9915	100.072	
1	846	35.9858	34.0162	100.095	
1	863	35.9995	34.0131	100.174	
1	879	36.0195	33.9457	100.101	
1	1729	36.7606	30.8754	101.78	
1	1746	36.7743	30.7711	101.795	
1	1763	36.7971	30.6511	101.89	
1	1779	36.827	30.5182	101.924	
1	1796	36.8101	30.4199	101.993	
1	1813	36.7846	30.3278	102.017	
1	1829	36.8232	30.1887	102.023	
1	1846	36.7746	30.0657	102.024	
1	1863	36.7878	29.9875	102.079	
1	1879	36.8062	29.8454	102.068	
1	1896	36.8361	29.6955	102.013	
2	-4	32.6038	34.4517	101.467	
2	13	32.604	34.4601	101.519	
2	29	32.6346	34.4264	101.47	
2	46	32.6428	34.4525	101.481	
2	63	32.6504	34.4528	101.472	
2	79	32.6645	34.4438	101.469	
2	96	32.6756	34.4376	101.486	
2	113	32.6727	34.4299	101.452	
2	129	32.6507	34.5191	101.559	
2	146	32.6621	34.5427	101.533	
2	163	32.6562	34.5402	101.488	
2	179	32.6382	34.5654	101.464	
2	196	32.6408	34.5876	101.47	
2	213	32.6522	34.5826	101.442	
2	229	32.6095	34.609	101.494	
2	246	32.6046	34.7075	101.58	
2	263	32.6294	34.6832	101.565	
2	279	32.6206	34.6788	101.51	
2	296	32.6139	34.7473	101.563	
2	313	32.6165	34.7252	101.541	
2	329	32.6382	34.683	101.445	
2	346	32.6237	34.7245	101.473	
2	363	32.6051	34.7766	101.526	
2	379	32.6101	34.7982	101.579	
2	396	32.5982	34.792	101.535	
2	413	32.5738	34.8356	101.551	
2	429	32.5745	34.8085	101.462	
2	446	32.573	34.8222	101.481	
2	463	32.5538	34.8388	101.442	
2	479	32.526	34.9121	101.564	
2	496	32.5117	34.936	101.537	
2	513	32.5073	34.9151	101.562	
2	529	32.5156	34.913	101.528	
2	546	32.5085	34.9113	101.546	
2	563	32.509	34.9227	101.523	
2	579	32.5183	34.9324	101.585	
2	596	32.5088	34.9257	101.579	
2	613	32.4956	34.9257	101.663	
2	629	32.5228	34.8511	101.572	
2	646	32.5285	34.8243	101.593	
2	663	32.5337	34.8237	101.602	
2	679	32.5475	34.8104	101.65	
2	696	32.5608	34.7972	101.684	
2	713	32.5433	34.8057	101.681	
2	729	32.5324	34.7959	101.767	
2	746	32.5413	34.7937	101.735	
2	763	32.5355	34.8035	101.756	
2	779	32.5278	34.7935	101.72	
2	796	32.5214	34.8174	101.814	
2	813	32.5379	34.7676	101.757	
2	829	32.5112	34.7759	101.863	
2	846	32.4987	34.7995	101.885	
2	863	32.5101	34.7951	101.96	
2	879	32.5319	34.7307	101.89	
2	1729	33.2209	31.8105	103.385	
2	1746	33.2369	31.7247	103.394	
2	1763	33.262	31.6226	103.483	
2	1779	33.2915	31.5024	103.508	
2	1796	33.275	31.4143	103.572	
2	1813	33.2505	31.3314	103.592	
2	1829	33.2919	31.202	103.598	
2	1846	33.244	31.0847	103.597	
2	1863	33.2596	31.0134	103.653	
2	1879	33.2814	30.8815	103.642	
2	1896	33.3163	30.742	103.591	
3	-4	26.398	35.5092	104.518	
3	13	26.3966	35.5179	104.567	
3	29	26.4286	35.4889	104.519	
3	46	26.4357	35.5151	104.527	
3	63	26.445	35.5191	104.521	
3	79	26.4604	35.5146	104.52	
3	96	26.4706	35.5061	104.535	
3	113	26.4681	35.4959	104.503	
3	129	26.4464	35.5866	104.61	
3	146	26.459	35.6085	104.586	
3	163	26.4553	35.6036	104.547	
3	179	26.4427	35.635	104.531	
3	196	26.4477	35.6573	104.542	
3	213	26.4573	35.6434	104.514	
3	229	26.4149	35.6674	104.568	
3	246	26.4081	35.7619	104.651	
3	263	26.434	35.7376	104.639	
3	279	26.4251	35.7294	104.584	
