Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
2	179	7.68498	49.9215	109.801	
2	196	7.68552	49.9224	109.804	
2	213	7.67792	49.9167	109.809	
2	229	7.66646	49.9198	109.817	
2	246	7.66531	49.9203	109.811	
2	263	7.66907	49.9161	109.813	
2	279	7.6653	49.9233	109.814	
2	296	7.65759	49.9153	109.809	
2	313	7.65683	49.9155	109.802	
2	329	7.65516	49.9148	109.813	
2	346	7.66566	49.9081	109.819	
2	363	7.66938	49.9001	109.821	
2	379	7.66633	49.8997	109.832	
2	396	7.66332	49.9015	109.843	
2	413	7.67133	49.8994	109.853	
2	429	7.6735	49.891	109.859	
2	446	7.67243	49.8906	109.882	
2	463	7.67784	49.8931	109.903	
2	479	7.67599	49.8838	109.91	
2	496	7.68031	49.8799	109.915	
2	513	7.67168	49.871	109.916	
2	529	7.67154	49.86	109.916	
2	546	7.67756	49.8572	109.913	
2	563	7.66785	49.8522	109.914	
2	579	7.67928	49.8467	109.91	
2	596	7.6765	49.8325	109.898	
2	613	7.69115	49.8316	109.899	
2	629	7.68979	49.8215	109.9	
2	646	7.6931	49.8072	109.893	
2	663	7.69902	49.798	109.887	
2	679	7.70248	49.7895	109.887	
2	696	7.71137	49.7827	109.895	
2	713	7.7103	49.7749	109.903	
2	729	7.72535	49.767	109.901	
2	746	7.71872	49.7531	109.9	
2	763	7.72554	49.7399	109.903	
2	779	7.73627	49.7198	109.898	
2	796	7.75318	49.7033	109.907	
2	813	7.75906	49.683	109.907	
2	829	7.7798	49.6703	109.906	
2	846	7.79019	49.6466	109.902	
2	863	7.81057	49.6268	109.908	
2	879	7.82808	49.6073	109.901	
2	896	7.84764	49.5841	109.893	
2	913	7.85857	49.5671	109.885	
2	929	7.88061	49.5376	109.891	
2	946	7.90832	49.5153	109.899	
2	963	7.93994	49.4847	109.906	
2	979	7.9656	49.4657	109.921	
2	996	7.98002	49.4385	109.923	
2	1013	8.01273	49.4187	109.934	
2	1029	8.03062	49.3864	109.941	
2	1046	8.06175	49.3699	109.961	
2	1063	8.08337	49.3393	109.978	
2	1079	8.11422	49.3201	109.99	
2	1096	8.13285	49.292	110.005	
2	1113	8.1485	49.2635	109.999	
2	1129	8.16631	49.2394	109.995	
2	1146	8.18612	49.2182	109.991	
2	1163	8.20987	49.1908	109.994	
2	1179	8.23702	49.1674	109.981	
2	1196	8.25193	49.1404	109.983	
2	1213	8.27433	49.1239	109.978	
2	1229	8.29395	49.0981	109.971	
2	1246	8.32595	49.0797	109.968	
2	1263	8.33682	49.0662	109.969	
2	1279	8.35347	49.043	109.959	
2	1296	8.37025	49.0228	109.963	
2	1313	8.39344	49.0059	109.967	
2	1329	8.41175	48.9806	109.963	
2	1346	8.42292	48.9673	109.959	
2	1363	8.42821	48.9516	109.969	
2	1379	8.45719	48.9354	109.972	
2	1396	8.46612	48.9089	109.96	
2	1413	8.49081	48.8863	109.97	
2	1429	8.51336	48.8743	109.972	
2	1446	8.53465	48.847	109.96	
2	1463	8.555	48.8304	109.958	
2	1479	8.57295	48.8175	109.953	
2	1496	8.59558	48.7898	109.942	
2	1513	8.62056	48.774	109.935	
2	1529	8.63202	48.7611	109.942	
2	1546	8.67109	48.7354	109.944	
2	1563	8.68965	48.7055	109.937	
2	1579	8.72846	48.6879	109.96	
2	1596	8.75116	48.6714	109.966	
2	1613	8.77441	48.6484	109.967	
2	1629	8.79569	48.6258	109.975	
2	1646	8.82306	48.6135	109.991	
2	1663	8.85067	48.5922	110.013	
2	1679	8.87107	48.5717	110.021	
2	1696	8.89669	48.5574	110.027	
2	1713	8.89799	48.5336	110.016	
2	1729	8.91439	48.5135	110.016	
2	1746	8.92986	48.4935	109.995	
2	1763	8.94701	48.4717	110.002	
2	1779	8.9702	48.4544	109.988	
2	1796	8.98808	48.4369	109.971	
2	1813	9.00265	48.4201	109.963	
2	1829	9.02084	48.4045	109.956	
2	1846	9.03943	48.385	109.944	
2	1863	9.04953	48.3685	109.939	
2	1879	9.06148	48.3543	109.929	
2	1896	9.07436	48.3343	109.92	
2	1913	9.09208	48.3204	109.926	
