VERSION_5_0 5-LA300
P	0	8	0	14.6609	96.7972	121.599	-0.778201	-0.626719	0.0403367	3.66	0.816	107	-10000	0	-1	1	A	0	1402	0	0.596165
P	0	9	0	11.5134	83.2466	124.857	0.463818	-0.847964	0.256573	3.456	2.604	82	-10000	0	-1	1	A	0	1402	0	0.893753
P	0	10	0	15.7293	96.0734	122.074	-0.783644	-0.620231	0.0348743	2.877	1.431	104	-10000	0	-1	1	A	0	1402	0	0.43698
P	0	11	0	25.2802	77.9924	126.961	0.901517	0.420262	-0.103187	3.303	2.631	87	-10000	0	-1	1	A	0	1402	0	0.597607
P	0	12	0	12.9697	88.8962	123.264	-0.271611	-0.93231	0.2388	1.989	0.816	96	-10000	0	-1	1	A	0	1402	0	0.200218
P	0	13	0	13.4422	81.6253	125.479	0.389297	-0.869761	0.303255	3.054	1.752	84	-10000	0	-1	1	A	0	1402	0	0.67899
P	0	14	0	31.0348	89.3928	124.265	-0.341989	0.930322	-0.132458	2.184	0.432	104	-10000	0	-1	1	A	0	1402	0	0.139132
P	0	15	0	31.0189	92.752	124.959	-0.552905	0.748863	-0.365377	1.152	0.546	112	-10000	0	-1	1	A	0	1402	0	0.584948
P	0	16	0	24.9235	96.3039	122.557	-0.968934	0.109816	-0.2216	2.133	1.05	114	-10000	0	-1	1	A	0	1402	0	0.566516
P	0	17	0	25.525	95.1896	122.136	-0.965523	0.136562	-0.221622	3.855	1.623	106	-10000	0	-1	1	A	0	1402	0	1.05662
P	0	18	0	13.8851	87.3805	122.717	-0.279133	-0.925991	0.254214	2.232	1.095	96	-10000	0	-1	1	A	0	1402	0	0.308957
P	0	19	0	14.2267	80.1092	125.027	0.36567	-0.876895	0.311995	3.15	1.119	85	-10000	0	-1	1	A	0	1402	0	0.645797
P	0	20	0	31.7144	80.0586	125.396	0.351489	0.901608	-0.252108	4.305	3.432	94	-10000	0	-1	1	A	0	1402	0	1.16984
P	0	21	0	31.7415	87.438	123.752	-0.333179	0.933976	-0.129156	2.178	0.204	96	-10000	0	-1	1	A	0	1402	0	0.0908861
P	0	22	0	27.0497	93.2767	123.85	-0.84337	0.500428	0.195701	4.227	1.455	105	-10000	0	-1	1	A	0	1402	0	0.855178
