Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	-4	35.9984	34.1589	99.7865	
1	13	35.9863	34.1573	99.8737	
1	29	36.0105	34.0771	99.7791	
1	46	36.0178	34.051	99.8029	
1	63	36.0223	34.0474	99.8114	
1	79	36.036	34.0313	99.8613	
1	96	36.0498	34.0182	99.8961	
1	113	36.0342	34.0296	99.8951	
1	129	36.022	34.0166	99.9796	
1	146	36.0292	34.0118	99.9463	
1	163	36.0232	34.0231	99.9655	
1	179	36.0129	34.0096	99.9266	
1	196	36.0071	34.0332	100.022	
1	213	36.0223	33.9815	99.9626	
1	229	35.9975	33.9915	100.072	
1	246	35.9858	34.0162	100.095	
1	263	35.9995	34.0131	100.174	
1	279	36.0195	33.9457	100.101	
1	1129	36.7606	30.8754	101.78	
1	1146	36.7743	30.7711	101.795	
1	1163	36.7971	30.6511	101.89	
1	1179	36.827	30.5182	101.924	
1	1196	36.8101	30.4199	101.993	
1	1213	36.7846	30.3278	102.017	
1	1229	36.8232	30.1887	102.023	
1	1246	36.7746	30.0657	102.024	
1	1263	36.7878	29.9875	102.079	
1	1279	36.8062	29.8454	102.068	
1	1296	36.8361	29.6955	102.013	
1	1946	36.5783	26.2515	102.743	
1	1979	36.5394	26.1569	102.805	
1	1996	36.5191	26.0544	102.755	
1	2013	36.4938	26.0898	102.85	
1	2029	36.4884	25.984	102.775	
1	2046	36.4737	25.9329	102.747	
1	2063	36.456	25.9006	102.757	
1	2079	36.4369	25.8737	102.796	
1	2096	36.4462	25.8081	102.756	
1	2113	36.4282	25.8761	102.885	
1	2129	36.3759	25.8162	102.773	
1	2146	36.384	25.8669	102.951	
1	2163	36.3648	25.7622	102.714	
1	2179	36.3273	25.879	102.868	
1	2196	36.3079	25.784	102.658	
1	2213	36.2979	25.8516	102.785	
1	2229	36.2743	25.8761	102.691	
1	2246	36.2254	25.9691	102.782	
1	2263	36.2185	25.9486	102.628	
1	2279	36.1864	25.9873	102.599	
1	2296	36.132	26.0827	102.597	
1	2313	36.1184	26.1753	102.53	
1	2329	36.081	26.2048	102.497	
1	2346	36.0785	26.2209	102.369	
1	2363	36.0264	26.3175	102.407	
1	2379	36.0123	26.29	102.244	
1	2396	35.9986	26.4231	102.349	
1	2413	35.9703	26.4196	102.193	
1	2429	35.9422	26.5602	102.309	
1	2446	35.9365	26.528	102.156	
1	2463	35.924	26.6263	102.234	
1	2479	35.9059	26.6629	102.133	
1	2496	35.885	26.7571	102.122	
2	-4	32.5088	34.9257	101.579	
2	13	32.4956	34.9257	101.663	
2	29	32.5228	34.8511	101.572	
2	46	32.5285	34.8243	101.593	
2	63	32.5337	34.8237	101.602	
2	79	32.5475	34.8104	101.65	
2	96	32.5608	34.7972	101.684	
2	113	32.5433	34.8057	101.681	
2	129	32.5324	34.7959	101.767	
2	146	32.5413	34.7937	101.735	
2	163	32.5355	34.8035	101.756	
2	179	32.5278	34.7935	101.72	
2	196	32.5214	34.8174	101.814	
2	213	32.5379	34.7676	101.757	
2	229	32.5112	34.7759	101.863	
2	246	32.4987	34.7995	101.885	
2	263	32.5101	34.7951	101.96	
2	279	32.5319	34.7307	101.89	
2	1129	33.2209	31.8105	103.385	
2	1146	33.2369	31.7247	103.394	
2	1163	33.262	31.6226	103.483	
2	1179	33.2915	31.5024	103.508	
2	1196	33.275	31.4143	103.572	
2	1213	33.2505	31.3314	103.592	
2	1229	33.2919	31.202	103.598	
2	1246	33.244	31.0847	103.597	
2	1263	33.2596	31.0134	103.653	
2	1279	33.2814	30.8815	103.642	
2	1296	33.3163	30.742	103.591	
2	1946	33.0898	27.4216	104.305	
2	1979	33.0477	27.325	104.361	
2	1996	33.0303	27.2305	104.313	
2	2013	33.0006	27.2597	104.402	
2	2029	32.9979	27.1615	104.327	
2	2046	32.9794	27.1051	104.294	
2	2063	32.9596	27.0712	104.301	
2	2079	32.9394	27.046	104.337	
2	2096	32.9477	26.9823	104.293	
2	2113	32.9209	27.0398	104.41	
2	2129	32.872	26.9876	104.299	
2	2146	32.8729	27.0301	104.467	
2	2163	32.8603	26.9362	104.237	
2	2179	32.8136	27.04	104.38	
2	2196	32.8007	26.9553	104.176	
2	2213	32.7854	27.0148	104.298	
2	2229	32.7624	27.0387	104.205	
2	2246	32.7065	27.1185	104.29	
2	2263	32.7034	27.1021	104.142	
2	2279	32.6732	27.1398	104.118	
2	2296	32.6182	27.2272	104.12	
2	2313	32.6018	27.3078	104.055	
2	2329	32.5649	27.3337	104.027	
2	2346	32.566	27.3526	103.905	
2	2363	32.5076	27.4347	103.939	
2	2379	32.4979	27.4131	103.783	
2	2396	32.4802	27.5363	103.885	
2	2413	32.453	27.5337	103.731	
2	2429	32.4164	27.6582	103.84	
2	2446	32.4164	27.636	103.693	
2	2463	32.3979	27.7228	103.765	
2	2479	32.3802	27.7594	103.665	
2	2496	32.3561	27.8458	103.652	
3	-4	26.3127	35.9466	104.662	
3	13	26.298	35.949	104.742	
3	29	26.3297	35.8826	104.657	
3	46	26.333	35.855	104.674	
3	63	26.3393	35.8589	104.683	
3	79	26.3533	35.8506	104.731	
3	96	26.3658	35.8375	104.763	
3	113	26.3454	35.8423	104.755	
3	129	26.3366	35.8374	104.843	
3	146	26.3479	35.8392	104.815	
3	163	26.3425	35.8462	104.837	
3	179	26.3384	35.8415	104.807	
3	196	26.3311	35.8661	104.899	
3	213	26.3497	35.8192	104.845	
3	229	26.3202	35.8255	104.947	
3	246	26.3066	35.8475	104.967	
3	263	26.3148	35.8424	105.036	
3	279	26.339	35.7822	104.969	
3	1129	26.9464	33.1398	106.179	
3	1146	26.9624	33.079	106.175	
3	1163	26.9883	33.0027	106.253	
3	1179	27.015	32.9022	106.262	
3	1196	26.9978	32.8306	106.315	
3	1213	26.9733	32.7623	106.328	
3	1229	27.0179	32.6481	106.333	
3	1246	26.97	32.5402	106.327	
3	1263	26.9881	32.4796	106.382	
3	1279	27.0137	32.3646	106.371	
3	1296	27.0551	32.2415	106.326	
3	1946	26.8667	29.168	106.981	
3	1979	26.82	29.0694	107.028	
3	1996	26.8068	28.987	106.981	
