Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	-4	36.1043	33.9705	99.7762	
1	13	36.1054	33.945	99.7528	
1	29	36.1277	33.9056	99.6565	
1	46	36.1137	33.9483	99.6857	
1	63	36.0961	34.0011	99.7397	
1	79	36.1024	34.0252	99.7941	
1	96	36.09	34.0197	99.7486	
1	113	36.065	34.0642	99.7633	
1	129	36.0639	34.037	99.6714	
1	146	36.0635	34.0545	99.6908	
1	163	36.0413	34.0686	99.6474	
1	179	36.0162	34.1466	99.7715	
1	196	36.0016	34.1703	99.7445	
1	213	35.9947	34.1467	99.7658	
1	229	36.0032	34.1457	99.7321	
1	246	35.9966	34.1459	99.7498	
1	263	35.9961	34.1546	99.726	
1	279	36.0084	34.1685	99.7921	
1	296	35.9984	34.1589	99.7865	
1	313	35.9863	34.1573	99.8737	
1	329	36.0105	34.0771	99.7791	
1	346	36.0178	34.051	99.8029	
1	363	36.0223	34.0474	99.8114	
1	379	36.036	34.0313	99.8613	
1	396	36.0498	34.0182	99.8961	
1	413	36.0342	34.0296	99.8951	
1	429	36.022	34.0166	99.9796	
1	446	36.0292	34.0118	99.9463	
1	463	36.0232	34.0231	99.9655	
1	479	36.0129	34.0096	99.9266	
1	496	36.0071	34.0332	100.022	
1	513	36.0223	33.9815	99.9626	
1	529	35.9975	33.9915	100.072	
1	546	35.9858	34.0162	100.095	
1	563	35.9995	34.0131	100.174	
1	579	36.0195	33.9457	100.101	
1	1429	36.7606	30.8754	101.78	
1	1446	36.7743	30.7711	101.795	
1	1463	36.7971	30.6511	101.89	
1	1479	36.827	30.5182	101.924	
1	1496	36.8101	30.4199	101.993	
1	1513	36.7846	30.3278	102.017	
1	1529	36.8232	30.1887	102.023	
1	1546	36.7746	30.0657	102.024	
1	1563	36.7878	29.9875	102.079	
1	1579	36.8062	29.8454	102.068	
1	1596	36.8361	29.6955	102.013	
1	2246	36.5783	26.2515	102.743	
1	2279	36.5394	26.1569	102.805	
1	2296	36.5191	26.0544	102.755	
1	2313	36.4938	26.0898	102.85	
1	2329	36.4884	25.984	102.775	
1	2346	36.4737	25.9329	102.747	
1	2363	36.456	25.9006	102.757	
1	2379	36.4369	25.8737	102.796	
1	2396	36.4462	25.8081	102.756	
1	2413	36.4282	25.8761	102.885	
1	2429	36.3759	25.8162	102.773	
1	2446	36.384	25.8669	102.951	
1	2463	36.3648	25.7622	102.714	
1	2479	36.3273	25.879	102.868	
1	2496	36.3079	25.784	102.658	
2	-4	32.6139	34.7473	101.563	
2	13	32.6165	34.7252	101.541	
2	29	32.6382	34.683	101.445	
2	46	32.6237	34.7245	101.473	
2	63	32.6051	34.7766	101.526	
2	79	32.6101	34.7982	101.579	
2	96	32.5982	34.792	101.535	
2	113	32.5738	34.8356	101.551	
2	129	32.5745	34.8085	101.462	
2	146	32.573	34.8222	101.481	
2	163	32.5538	34.8388	101.442	
2	179	32.526	34.9121	101.564	
2	196	32.5117	34.936	101.537	
2	213	32.5073	34.9151	101.562	
2	229	32.5156	34.913	101.528	
2	246	32.5085	34.9113	101.546	
2	263	32.509	34.9227	101.523	
2	279	32.5183	34.9324	101.585	
2	296	32.5088	34.9257	101.579	
2	313	32.4956	34.9257	101.663	
2	329	32.5228	34.8511	101.572	
2	346	32.5285	34.8243	101.593	
2	363	32.5337	34.8237	101.602	
2	379	32.5475	34.8104	101.65	
2	396	32.5608	34.7972	101.684	
2	413	32.5433	34.8057	101.681	
2	429	32.5324	34.7959	101.767	
2	446	32.5413	34.7937	101.735	
2	463	32.5355	34.8035	101.756	
2	479	32.5278	34.7935	101.72	
2	496	32.5214	34.8174	101.814	
2	513	32.5379	34.7676	101.757	
2	529	32.5112	34.7759	101.863	
2	546	32.4987	34.7995	101.885	
2	563	32.5101	34.7951	101.96	
2	579	32.5319	34.7307	101.89	
2	1429	33.2209	31.8105	103.385	
2	1446	33.2369	31.7247	103.394	
2	1463	33.262	31.6226	103.483	
2	1479	33.2915	31.5024	103.508	
2	1496	33.275	31.4143	103.572	
2	1513	33.2505	31.3314	103.592	
2	1529	33.2919	31.202	103.598	
2	1546	33.244	31.0847	103.597	
2	1563	33.2596	31.0134	103.653	
2	1579	33.2814	30.8815	103.642	
2	1596	33.3163	30.742	103.591	
2	2246	33.0898	27.4216	104.305	
2	2279	33.0477	27.325	104.361	
2	2296	33.0303	27.2305	104.313	
2	2313	33.0006	27.2597	104.402	
2	2329	32.9979	27.1615	104.327	
2	2346	32.9794	27.1051	104.294	
2	2363	32.9596	27.0712	104.301	
2	2379	32.9394	27.046	104.337	
2	2396	32.9477	26.9823	104.293	
2	2413	32.9209	27.0398	104.41	
2	2429	32.872	26.9876	104.299	
2	2446	32.8729	27.0301	104.467	
2	2463	32.8603	26.9362	104.237	
2	2479	32.8136	27.04	104.38	
2	2496	32.8007	26.9553	104.176	
3	-4	26.4167	35.7923	104.636	
3	13	26.4214	35.775	104.616	
3	29	26.4422	35.7276	104.52	
3	46	26.4271	35.7669	104.548	
3	63	26.4069	35.8176	104.598	
3	79	26.4101	35.8348	104.649	
3	96	26.3992	35.8269	104.607	
3	113	26.3756	35.8685	104.626	
3	129	26.379	35.8409	104.543	
3	146	26.3759	35.8485	104.56	
3	163	26.3609	35.8682	104.529	
3	179	26.3294	35.9338	104.645	
3	196	26.3156	35.9576	104.62	
3	213	26.3146	35.9399	104.65	
3	229	26.3224	35.9357	104.616	
3	246	26.3146	35.9307	104.633	
3	263	26.3165	35.9461	104.612	
3	279	26.3215	35.9489	104.667	
3	296	26.3127	35.9466	104.662	
3	313	26.298	35.949	104.742	
3	329	26.3297	35.8826	104.657	
3	346	26.333	35.855	104.674	
3	363	26.3393	35.8589	104.683	
3	379	26.3533	35.8506	104.731	
3	396	26.3658	35.8375	104.763	
3	413	26.3454	35.8423	104.755	
3	429	26.3366	35.8374	104.843	
3	446	26.3479	35.8392	104.815	
3	463	26.3425	35.8462	104.837	
