Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	-4	5.47401	48.4049	109.992	
1	13	5.47623	48.4059	109.99	
1	29	5.47171	48.4089	109.989	
1	46	5.47741	48.4109	110.001	
1	63	5.47643	48.4112	109.995	
1	79	5.48436	48.4187	110.008	
1	96	5.4847	48.4239	110.012	
1	113	5.48426	48.4263	110.023	
1	129	5.4935	48.4272	110.023	
1	146	5.48584	48.4346	110.042	
1	163	5.48725	48.4436	110.057	
1	179	5.48931	48.4424	110.063	
1	196	5.48872	48.4464	110.072	
1	213	5.47425	48.4556	110.071	
1	229	5.47446	48.4545	110.059	
1	246	5.46198	48.4587	110.053	
1	263	5.45197	48.4599	110.049	
1	279	5.46538	48.4679	110.048	
1	296	5.46712	48.4643	110.042	
1	313	5.45648	48.4743	110.042	
1	329	5.4526	48.4801	110.046	
1	346	5.45404	48.4822	110.04	
1	363	5.44255	48.4796	110.028	
1	379	5.44067	48.491	110.031	
1	396	5.43045	48.4997	110.041	
1	413	5.43083	48.5033	110.039	
1	429	5.4203	48.507	110.048	
1	446	5.40874	48.5141	110.041	
1	463	5.39934	48.5094	110.055	
1	479	5.3945	48.5145	110.045	
1	496	5.39476	48.5158	110.048	
1	513	5.38753	48.5095	110.053	
1	529	5.37519	48.5142	110.061	
1	546	5.37337	48.5156	110.055	
1	563	5.3776	48.5106	110.056	
1	579	5.37313	48.5189	110.058	
1	596	5.36544	48.5109	110.052	
1	613	5.36507	48.5102	110.045	
1	629	5.36284	48.5106	110.056	
1	646	5.3729	48.5046	110.062	
1	663	5.37708	48.4956	110.062	
1	679	5.37394	48.4952	110.073	
1	696	5.37025	48.4981	110.084	
1	713	5.37783	48.4967	110.094	
1	729	5.38036	48.4874	110.099	
1	746	5.3789	48.4878	110.122	
1	763	5.38355	48.4915	110.143	
1	779	5.38179	48.4821	110.15	
1	796	5.38617	48.478	110.155	
1	813	5.37658	48.4709	110.157	
1	829	5.37597	48.4605	110.157	
1	846	5.38245	48.4568	110.153	
1	863	5.37199	48.453	110.153	
1	879	5.38304	48.4482	110.15	
