Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
2	179	6.39428	43.0119	152.857	
2	196	6.4034	42.9733	152.898	
2	213	6.44334	42.9327	152.873	
2	229	6.45111	42.8819	152.895	
2	246	6.43862	43.04	152.924	
2	263	6.53842	42.9031	152.912	
2	279	6.53845	42.9365	152.861	
2	296	6.54716	42.9523	152.914	
2	313	6.57958	42.9403	152.874	
2	329	6.62244	42.8683	152.824	
2	346	6.57763	42.9316	152.832	
2	363	6.55841	42.9928	152.851	
2	379	6.5417	43.0234	152.835	
2	396	6.58511	42.9368	152.818	
2	413	6.51778	43.0228	152.826	
2	429	6.54045	42.9846	152.811	
2	446	6.54133	42.9445	152.815	
2	463	6.55799	42.9316	152.824	
2	479	6.53057	42.9519	152.871	
2	496	6.57824	42.9174	152.861	
2	513	6.60281	42.9198	152.852	
2	529	6.64241	42.8731	152.823	
2	546	6.63212	42.8588	152.823	
2	563	6.61027	42.9471	152.805	
2	579	6.59676	42.8974	152.813	
2	596	6.59366	42.8972	152.805	
2	613	6.58605	42.8626	152.839	
2	629	6.59994	42.8404	152.801	
2	646	6.63048	42.7086	152.814	
2	663	6.62482	42.7161	152.846	
2	679	6.62342	42.7369	152.869	
2	696	6.58202	42.7389	152.867	
2	713	6.58607	42.6309	152.886	
2	729	6.54656	42.6764	152.904	
2	746	6.60881	42.6379	152.91	
2	763	6.58686	42.6542	152.886	
2	779	6.60089	42.6361	152.897	
2	796	6.5449	42.6376	152.95	
2	813	6.5699	42.6052	152.918	
2	829	6.55649	42.5418	152.937	
2	846	6.60007	42.475	152.978	
2	863	6.59415	42.4506	152.977	
2	879	6.65283	42.3725	152.957	
2	896	6.63112	42.3555	152.975	
2	913	6.65348	42.2759	152.992	
2	929	6.66231	42.2229	152.992	
2	946	6.60657	42.2006	153.013	
2	963	6.59785	42.1708	153.038	
2	979	6.55932	42.1522	153.059	
2	996	6.53736	42.1708	153.061	
2	1013	6.45412	42.2014	153.109	
2	1029	6.42509	42.1942	153.109	
2	1046	6.39064	42.1121	153.139	
2	1063	6.34493	42.0905	153.153	
2	1079	6.26899	42.0631	153.24	
2	1096	6.29059	42.0414	153.276	
2	1113	6.26649	41.9791	153.313	
2	1129	6.28251	41.8894	153.316	
2	1146	6.20638	41.8796	153.359	
2	1163	6.20189	41.8211	153.385	
2	1179	6.14744	41.7593	153.433	
2	1196	6.05654	41.779	153.473	
2	1213	5.99743	41.8085	153.516	
2	1229	5.91744	41.7491	153.532	
2	1246	5.85016	41.7154	153.556	
2	1263	5.76335	41.6823	153.622	
2	1279	5.73891	41.6163	153.602	
2	1296	5.69949	41.4519	153.674	
2	1313	5.60716	41.5261	153.736	
2	1329	5.53992	41.4691	153.814	
2	1346	5.53254	41.3756	153.795	
2	1363	5.50636	41.2361	153.874	
2	1379	5.45817	41.2149	153.911	
2	1396	5.40589	41.1456	153.966	
2	1413	5.36629	41.0945	153.973	
2	1429	5.34557	41.0216	154.052	
2	1446	5.26987	41.0674	154.059	
2	1463	5.26969	40.9009	154.06	
2	1479	5.19033	40.8625	154.115	
2	1496	5.16669	40.7936	154.147	
2	1513	5.09857	40.7686	154.144	
2	1529	5.06299	40.7264	154.143	
2	1546	4.96772	40.6615	154.216	
2	1563	4.9654	40.5295	154.231	
2	1579	4.91134	40.4548	154.299	
2	1596	4.89672	40.4224	154.306	
2	1613	4.8152	40.2513	154.363	
2	1629	4.72791	40.3114	154.411	
2	1646	4.66438	40.2624	154.451	
2	1663	4.61575	40.1846	154.493	
2	1679	4.56891	40.0152	154.546	
2	1696	4.48785	40.0662	154.576	
2	1713	4.52216	39.9383	154.644	
2	1729	4.47317	39.8479	154.633	
2	1746	4.45802	39.7592	154.714	
2	1763	4.3827	39.7262	154.753	
2	1779	4.35779	39.5895	154.788	
2	1796	4.24533	39.568	154.82	
2	1813	4.22453	39.4795	154.91	
2	1829	4.23295	39.4463	155.129	
2	1846	4.17696	39.3059	155.211	
2	1863	4.0715	39.3267	155.266	
2	1879	4.02427	39.1945	155.32	
2	1896	3.97307	39.1286	155.311	
2	1913	3.87639	39.0765	155.42	
2	1929	3.80427	39.0569	155.463	
2	1946	3.8007	38.9023	155.516	
2	1963	3.73202	38.8707	155.538	
2	1979	3.6772	38.8175	155.617	
2	1996	3.6023	38.7491	155.648	
2	2013	3.60962	38.5686	155.69	
2	2029	3.52329	38.5607	155.751	
2	2046	3.49997	38.4745	155.811	
2	2063	3.45076	38.4199	155.817	
2	2079	3.41288	38.3161	155.869	
2	2096	3.33054	38.2837	155.879	
2	2113	3.28435	38.2115	155.921	
2	2129	3.23163	38.1346	155.901	
2	2146	3.17486	38.0363	155.994	
2	2163	3.06451	38.0756	156.017	
2	2179	3.0236	37.9304	156.061	
2	2196	2.95353	37.8482	156.079	
2	2213	2.90239	37.7296	156.143	
2	2229	2.81656	37.7023	156.174	
2	2246	2.75618	37.6336	156.169	
2	2263	2.68488	37.4868	156.235	
2	2279	2.57888	37.451	156.324	
2	2296	2.4974	37.4236	156.321	
2	2313	2.47688	37.2917	156.336	
2	2329	2.39761	37.2215	156.369	
2	2346	2.35308	37.1358	156.414	
2	2363	2.28664	37.0691	156.449	
2	2379	2.2076	36.9523	156.44	
2	2396	2.15689	36.8294	156.523	
2	2413	2.04327	36.8531	156.521	
2	2429	2.01726	36.6945	156.523	
2	2446	1.87808	36.6116	156.603	
2	2463	1.83804	36.4961	156.618	
2	2479	1.74771	36.4859	156.645	
2	2496	1.70955	36.3601	156.622	
3	-4	6.22947	45.0085	146.375	
3	13	6.1866	45.0496	146.385	
3	29	6.22041	45.0066	146.393	
3	46	6.2235	45.0164	146.387	
3	63	6.20092	45.0204	146.439	
3	79	6.19635	45.0346	146.432	
3	96	6.20621	44.9631	146.442	
3	113	6.1685	45.0239	146.417	
3	129	6.15675	45.0746	146.491	
3	146	6.14735	45.1295	146.49	
3	163	6.19311	45.0804	146.463	
3	179	6.18829	45.1357	146.483	
3	196	6.13822	45.152	146.547	
3	213	6.1915	45.1018	146.517	
3	229	6.16986	45.0749	146.549	
3	246	6.12996	45.253	146.586	
3	263	6.21438	45.129	146.579	
3	279	6.18626	45.1837	146.538	
3	296	6.21536	45.1833	146.582	
3	313	6.20831	45.201	146.555	
3	329	6.25059	45.1319	146.507	
3	346	6.22402	45.1799	146.507	
3	363	6.19573	45.2458	146.528	
3	379	6.17968	45.2768	146.512	
3	396	6.19794	45.2082	146.504	
3	413	6.1312	45.2969	146.514	
3	429	6.14848	45.2629	146.5	
3	446	6.11965	45.2468	146.517	
3	463	6.11592	45.2509	146.534	
3	479	6.08609	45.2763	146.582	
3	496	6.10983	45.2594	146.581	
3	513	6.11042	45.2793	146.581	
3	529	6.13517	45.248	146.559	
3	546	6.13972	45.2292	146.555	
3	563	6.15253	45.2978	146.526	
3	579	6.15257	45.2412	146.531	
3	596	6.12744	45.2549	146.53	
3	613	6.13497	45.2125	146.559	
3	629	6.1389	45.1999	146.527	
3	646	6.15741	45.0787	146.546	
3	663	6.13804	45.098	146.584	
3	679	6.12819	45.1264	146.61	
3	696	6.10491	45.1231	146.606	
3	713	6.10611	45.02	146.627	
3	729	6.06199	45.0723	146.648	
3	746	6.13913	45.0277	146.649	
3	763	6.12545	45.0403	146.623	
3	779	6.14515	45.0195	146.632	
3	796	6.0882	45.0291	146.69	
3	813	6.1272	44.9916	146.654	
3	829	6.12427	44.9227	146.67	
3	846	6.13964	44.8743	146.721	
3	863	6.14178	44.8517	146.721	
3	879	6.19886	44.7759	146.702	
3	896	6.17036	44.766	146.724	
3	913	6.18528	44.6988	146.747	
3	929	6.19991	44.6503	146.749	
3	946	6.16508	44.6254	146.767	
3	963	6.15268	44.6021	146.794	
3	979	6.11849	44.5901	146.819	
3	996	6.11835	44.6036	146.817	
3	1013	6.06487	44.624	146.858	
3	1029	6.03618	44.623	146.861	
3	1046	6.00724	44.5486	146.895	
3	1063	5.9772	44.5274	146.908	
3	1079	5.90108	44.5115	147.001	
3	1096	5.91223	44.5055	147.044	
3	1113	5.87953	44.4626	147.091	
3	1129	5.89967	44.3834	147.098	
3	1146	5.84657	44.3754	147.141	
3	1163	5.8461	44.3307	147.172	
3	1179	5.83053	44.2605	147.214	
3	1196	5.76594	44.2782	147.251	
3	1213	5.73285	44.3029	147.29	
3	1229	5.68117	44.2432	147.305	
3	1246	5.6284	44.2128	147.331	
3	1263	5.58871	44.1656	147.389	
3	1279	5.57195	44.1089	147.374	
3	1296	5.54136	43.9551	147.451	
3	1313	5.46423	44.0316	147.514	
3	1329	5.40213	43.9876	147.599	
3	1346	5.40415	43.9029	147.583	
3	1363	5.3627	43.7886	147.674	
3	1379	5.33126	43.777	147.715	
3	1396	5.32143	43.699	147.764	
3	1413	5.278	43.6656	147.78	
3	1429	5.28084	43.5921	147.856	
3	1446	5.24023	43.6315	147.86	
3	1463	5.26542	43.4635	147.86	
3	1479	5.21103	43.4232	147.914	
3	1496	5.20571	43.3589	147.949	
3	1513	5.18233	43.3205	147.94	
3	1529	5.18256	43.2664	147.935	
3	1546	5.07232	43.2272	148.02	
3	1563	5.09238	43.0957	148.035	
3	1579	5.0547	43.0265	148.106	
3	1596	5.03309	43.0166	148.123	
3	1613	4.97227	42.8508	148.183	
3	1629	4.90655	42.914	148.233	
3	1646	4.83611	42.891	148.285	
3	1663	4.8315	42.8016	148.323	
3	1679	4.80148	42.6418	148.381	
3	1696	4.7265	42.7082	148.418	
3	1713	4.7946	42.5755	148.485	
3	1729	4.74039	42.5082	148.484	
3	1746	4.75782	42.4137	148.563	
3	1763	4.67195	42.4104	148.616	
3	1779	4.67151	42.2803	148.655	
3	1796	4.60896	42.2409	148.681	
3	1813	4.56556	42.188	148.786	
3	1829	4.71214	42.2066	149.067	
3	1846	4.70848	42.0935	149.164	
3	1863	4.63167	42.1475	149.233	
3	1879	4.63673	42.0291	149.295	
3	1896	4.59458	42.0044	149.305	
3	1913	4.55449	41.9563	149.417	
3	1929	4.5024	41.9624	149.473	
3	1946	4.50422	41.8426	149.541	
3	1963	4.46572	41.8267	149.572	
3	1979	4.42312	41.7997	149.664	
3	1996	4.36691	41.7537	149.708	
3	2013	4.3724	41.6048	149.762	
3	2029	4.29689	41.6188	149.835	
3	2046	4.30888	41.5379	149.899	
3	2063	4.26544	41.5046	149.916	
3	2079	4.25355	41.4096	149.975	
3	2096	4.20713	41.3784	149.99	
3	2113	4.18986	41.3112	150.038	
3	2129	4.17942	41.2303	150.023	
3	2146	4.13257	41.1435	150.122	
3	2163	4.05414	41.183	150.15	
3	2179	4.03582	41.0448	150.201	
3	2196	3.96061	40.9835	150.23	
3	2213	3.91456	40.8823	150.304	
3	2229	3.85053	40.8614	150.342	
3	2246	3.81713	40.8004	150.346	
3	2263	3.76515	40.6642	150.421	
