Sensor_Positions_2.0
Sensor#	Time	X	Y	Z
1	-4	17.2251	96.0028	119.751	
1	13	17.2224	96.0048	119.749	
1	29	17.2222	96.0046	119.758	
1	46	17.2275	96.0048	119.769	
1	63	17.2285	96.0075	119.783	
1	79	17.2249	96.0142	119.797	
1	96	17.2207	96.0182	119.812	
1	113	17.2131	96.0212	119.833	
1	129	17.2118	96.0263	119.852	
1	146	17.2175	96.0248	119.875	
1	163	17.226	96.0281	119.903	
1	179	17.2293	96.0304	119.924	
1	196	17.2297	96.0327	119.933	
1	213	17.2311	96.0356	119.934	
1	229	17.2264	96.0354	119.938	
1	246	17.218	96.0336	119.938	
1	263	17.2119	96.034	119.937	
1	279	17.2058	96.0415	119.928	
1	296	17.1929	96.0493	119.924	
1	313	17.1801	96.0562	119.924	
1	329	17.1806	96.0635	119.926	
1	346	17.1617	96.0672	119.93	
1	363	17.1395	96.0711	119.934	
1	379	17.1348	96.0824	119.938	
1	396	17.1273	96.0881	119.949	
1	413	17.1119	96.1004	119.957	
1	429	17.1019	96.1031	119.956	
1	446	17.0983	96.1115	119.962	
1	463	17.0849	96.1151	119.972	
1	479	17.0859	96.1126	119.981	
1	496	17.0856	96.1124	119.987	
1	513	17.0886	96.1122	119.992	
1	529	17.0911	96.1077	119.993	
1	546	17.0862	96.1105	119.998	
1	563	17.0777	96.109	119.994	
1	579	17.0712	96.1105	119.988	
1	596	17.0607	96.1122	119.983	
1	613	17.065	96.111	119.981	
1	629	17.0666	96.106	119.986	
1	646	17.0712	96.1002	119.996	
1	663	17.0757	96.0926	120.008	
1	679	17.0739	96.0927	120.018	
1	696	17.0757	96.0865	120.037	
1	713	17.0784	96.0855	120.055	
1	729	17.0909	96.0788	120.073	
1	746	17.1046	96.0688	120.095	
1	763	17.1134	96.0591	120.122	
1	779	17.1345	96.046	120.141	
1	796	17.1353	96.036	120.147	
1	813	17.1528	96.0233	120.147	
1	829	17.1574	96.0097	120.146	
1	846	17.1688	95.9937	120.149	
1	863	17.1831	95.9831	120.139	
1	879	17.1897	95.9641	120.128	
1	896	17.1988	95.9513	120.119	
1	913	17.2072	95.9365	120.112	
1	929	17.2221	95.9215	120.112	
1	946	17.2382	95.9058	120.107	
1	963	17.2547	95.892	120.104	
1	979	17.2627	95.8692	120.102	
1	996	17.2836	95.8533	120.106	
1	1013	17.306	95.8318	120.111	
1	1029	17.3331	95.8089	120.107	
1	1046	17.3635	95.7898	120.106	
1	1063	17.3937	95.7621	120.111	
1	1079	17.4202	95.7287	120.116	
1	1096	17.469	95.6954	120.113	
1	1113	17.5093	95.6654	120.113	
1	1129	17.5572	95.6267	120.112	
1	1146	17.5946	95.5952	120.108	
1	1163	17.6376	95.5637	120.099	
1	1179	17.6828	95.5313	120.084	
1	1196	17.7215	95.4943	120.074	
1	1213	17.7637	95.459	120.065	
1	1229	17.8118	95.4172	120.069	
1	1246	17.8705	95.3803	120.073	
1	1263	17.9218	95.3452	120.079	
1	1279	17.9658	95.3053	120.089	
1	1296	18.0187	95.2665	120.103	
1	1313	18.0698	95.2267	120.113	
1	1329	18.1224	95.1856	120.128	
1	1346	18.1868	95.1468	120.15	
1	1363	18.245	95.1015	120.169	
1	1379	18.3006	95.0642	120.187	
1	1396	18.3504	95.0217	120.186	
1	1413	18.4033	94.9799	120.182	
1	1429	18.4592	94.9425	120.175	
1	1446	18.5039	94.8977	120.166	
1	1463	18.5541	94.8538	120.155	
1	1479	18.5987	94.8191	120.141	
1	1496	18.6425	94.7813	120.123	
1	1513	18.679	94.7477	120.113	
1	1529	18.7238	94.7133	120.103	
1	1546	18.7666	94.6789	120.093	
1	1563	18.7987	94.6443	120.084	
1	1579	18.8384	94.6129	120.073	
1	1596	18.8823	94.5809	120.069	
1	1613	18.9217	94.5457	120.07	
1	1629	18.9641	94.5171	120.065	
1	1646	19.0006	94.4846	120.054	
1	1663	19.0485	94.4491	120.054	
1	1679	19.0993	94.4067	120.05	
1	1696	19.1519	94.3677	120.044	
1	1713	19.2102	94.3237	120.035	
1	1729	19.2623	94.285	120.027	
1	1746	19.3143	94.2485	120.016	
1	1763	19.3574	94.2146	119.999	
1	1779	19.4068	94.1801	119.977	
1	1796	19.4524	94.1438	119.961	
1	1813	19.4963	94.1074	119.951	
1	1829	19.5529	94.0673	119.944	
1	1846	19.6145	94.0302	119.943	
1	1863	19.6676	93.9919	119.945	
1	1879	19.7225	93.9559	119.951	
1	1896	19.778	93.9239	119.959	
1	1913	19.8276	93.8839	119.967	
1	1929	19.8932	93.8542	119.981	
1	1946	19.9375	93.8114	119.994	
1	1963	19.9987	93.7764	120.013	
1	1979	20.062	93.7411	120.029	
1	1996	20.1093	93.7042	120.025	
