Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	-4	5.52148	48.3528	109.828	
1	13	5.5255	48.351	109.829	
1	29	5.52208	48.3544	109.843	
1	46	5.54217	48.3461	109.842	
1	63	5.53712	48.3469	109.853	
1	79	5.54108	48.3589	109.87	
1	96	5.54256	48.3534	109.886	
1	113	5.53888	48.358	109.878	
1	129	5.54706	48.3637	109.901	
1	146	5.54313	48.3588	109.917	
1	163	5.53759	48.3685	109.936	
1	179	5.54662	48.3594	109.948	
1	196	5.54019	48.3662	109.962	
1	213	5.53176	48.3656	109.964	
1	229	5.52372	48.3605	109.961	
1	246	5.52782	48.3648	109.964	
1	263	5.51858	48.3677	109.969	
1	279	5.51489	48.3658	109.966	
1	296	5.52127	48.3634	109.952	
1	313	5.51489	48.3649	109.957	
1	329	5.50744	48.3726	109.96	
1	346	5.51805	48.3702	109.966	
1	363	5.51241	48.3659	109.962	
1	379	5.50409	48.3745	109.969	
1	396	5.49992	48.3796	109.977	
1	413	5.49849	48.3838	109.985	
1	429	5.4977	48.384	109.982	
1	446	5.47864	48.3863	109.987	
1	463	5.4771	48.3895	109.994	
1	479	5.47455	48.3925	109.992	
1	496	5.46807	48.3882	109.999	
1	513	5.46456	48.3933	110.009	
1	529	5.472	48.3952	110.011	
1	546	5.46954	48.4016	110.004	
1	563	5.4644	48.4011	110.003	
1	579	5.46642	48.4099	110.003	
1	596	5.47401	48.4049	109.992	
1	613	5.47623	48.4059	109.99	
1	629	5.47171	48.4089	109.989	
1	646	5.47741	48.4109	110.001	
1	663	5.47643	48.4112	109.995	
1	679	5.48436	48.4187	110.008	
1	696	5.4847	48.4239	110.012	
1	713	5.48426	48.4263	110.023	
1	729	5.4935	48.4272	110.023	
1	746	5.48584	48.4346	110.042	
1	763	5.48725	48.4436	110.057	
1	779	5.48931	48.4424	110.063	
1	796	5.48872	48.4464	110.072	
1	813	5.47425	48.4556	110.071	
1	829	5.47446	48.4545	110.059	
1	846	5.46198	48.4587	110.053	
1	863	5.45197	48.4599	110.049	
1	879	5.46538	48.4679	110.048	
1	896	5.46712	48.4643	110.042	
1	913	5.45648	48.4743	110.042	
1	929	5.4526	48.4801	110.046	
1	946	5.45404	48.4822	110.04	
1	963	5.44255	48.4796	110.028	
1	979	5.44067	48.491	110.031	
1	996	5.43045	48.4997	110.041	
1	1013	5.43083	48.5033	110.039	
1	1029	5.4203	48.507	110.048	
1	1046	5.40874	48.5141	110.041	
1	1063	5.39934	48.5094	110.055	
1	1079	5.3945	48.5145	110.045	
1	1096	5.39476	48.5158	110.048	
1	1113	5.38753	48.5095	110.053	
1	1129	5.37519	48.5142	110.061	
1	1146	5.37337	48.5156	110.055	
1	1163	5.3776	48.5106	110.056	
1	1179	5.37313	48.5189	110.058	
1	1196	5.36544	48.5109	110.052	
1	1213	5.36507	48.5102	110.045	
