Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	-4	6.24028	39.8625	159.004	
1	13	6.34258	39.8	158.941	
1	29	6.3882	39.7237	158.889	
1	46	6.31326	39.8116	158.909	
1	63	6.31048	39.8637	158.924	
1	79	6.2937	39.8926	158.907	
1	96	6.38179	39.7749	158.875	
1	113	6.3155	39.8558	158.88	
1	129	6.34886	39.8112	158.862	
1	146	6.40374	39.7311	158.846	
1	163	6.45852	39.6906	158.84	
1	179	6.43754	39.7048	158.884	
1	196	6.52904	39.6431	158.86	
1	213	6.59808	39.6168	158.835	
1	229	6.66656	39.5476	158.792	
1	246	6.63351	39.5437	158.799	
1	263	6.55406	39.6654	158.8	
1	279	6.51952	39.6267	158.815	
1	296	6.5586	39.6004	158.791	
1	313	6.52792	39.5786	158.833	
1	329	6.56302	39.5388	158.785	
1	346	6.61879	39.3899	158.788	
1	363	6.64206	39.3778	158.808	
1	379	6.66036	39.3866	158.824	
1	396	6.59315	39.397	158.828	
1	413	6.60736	39.2816	158.842	
1	429	6.58069	39.3161	158.854	
1	446	6.62073	39.2895	158.867	
1	463	6.58801	39.3112	158.847	
1	479	6.59538	39.2969	158.86	
1	496	6.5453	39.285	158.904	
1	513	6.5497	39.2609	158.877	
1	529	6.52114	39.2059	158.901	
1	546	6.61681	39.1088	158.924	
1	563	6.60066	39.0828	158.922	
1	579	6.66564	39.0012	158.9	
1	596	6.65986	38.9729	158.911	
1	613	6.69962	38.8756	158.917	
1	629	6.70344	38.8176	158.914	
1	646	6.61614	38.8026	158.94	
1	663	6.61812	38.7645	158.96	
1	679	6.57691	38.7372	158.975	
1	696	6.52158	38.7665	158.984	
1	713	6.39067	38.816	159.043	
1	729	6.36486	38.8005	159.038	
1	746	6.32531	38.7085	159.061	
1	763	6.25698	38.6892	159.076	
1	779	6.18567	38.6469	159.154	
1	796	6.22973	38.6044	159.178	
1	813	6.22603	38.5159	159.198	
1	829	6.24032	38.4156	159.195	
1	846	6.13007	38.4091	159.241	
1	863	6.12483	38.335	159.256	
1	879	6.00924	38.2939	159.317	
1	896	5.87843	38.3226	159.361	
1	913	5.77964	38.3648	159.411	
1	929	5.65714	38.3104	159.427	
1	946	5.57187	38.2738	159.448	
1	963	5.40992	38.2698	159.527	
1	979	5.37947	38.1915	159.499	
1	996	5.33269	38.0146	159.563	
1	1013	5.22176	38.0891	159.624	
1	1029	5.15369	38.0156	159.692	
1	1046	5.13834	37.9124	159.666	
1	1063	5.14702	37.7374	159.726	
1	1079	5.07887	37.7079	159.755	
1	1096	4.96109	37.6622	159.821	
1	1113	4.93648	37.587	159.815	
1	1129	4.88226	37.5229	159.897	
1	1146	4.75304	37.5857	159.91	
1	1163	4.71573	37.4281	159.913	
1	1179	4.59995	37.3988	159.97	
1	1196	4.55113	37.3296	160	
1	1213	4.41226	37.3338	160.005	
1	1229	4.32145	37.3151	160.012	
1	1246	4.25933	37.2121	160.066	
1	1263	4.22616	37.0852	160.079	
1	1279	4.15123	37.008	160.143	
1	1296	4.15602	36.9454	160.134	
1	1313	4.04708	36.7738	160.188	
1	1329	3.93135	36.8355	160.233	
1	1346	3.88872	36.7512	160.253	
1	1363	3.77314	36.7005	160.302	
