Sensor_Positions_2.0
Sensor#	Time	X	Y	Z
1	-4	5.04963	47.9804	109.919	
1	13	5.05568	47.9756	109.918	
1	29	5.05171	47.9769	109.929	
1	46	5.06969	47.9736	109.934	
1	63	5.069	47.9733	109.943	
1	79	5.07015	47.9795	109.955	
1	96	5.07197	47.9796	109.972	
1	113	5.06691	47.9878	109.971	
1	129	5.07621	47.9861	109.99	
1	146	5.07379	47.985	110.007	
1	163	5.06937	47.991	110.021	
1	179	5.07245	47.9877	110.041	
1	196	5.07183	47.9918	110.05	
1	213	5.0631	47.9904	110.051	
1	229	5.0536	47.9888	110.051	
1	246	5.05362	47.9928	110.058	
1	263	5.04919	47.9943	110.058	
1	279	5.04558	47.992	110.053	
1	296	5.04704	47.9915	110.043	
1	313	5.04393	47.9927	110.048	
1	329	5.03875	47.9982	110.048	
1	346	5.0449	47.9961	110.053	
1	363	5.03903	47.9935	110.055	
1	379	5.03442	48.0002	110.058	
1	396	5.0316	48.0067	110.068	
1	413	5.02577	48.008	110.075	
1	429	5.02688	48.0112	110.076	
1	446	5.01314	48.0117	110.075	
1	463	5.00596	48.0143	110.083	
1	479	5.00354	48.0195	110.087	
1	496	4.99982	48.0139	110.092	
1	513	4.99888	48.0156	110.096	
1	529	5.00178	48.0185	110.099	
1	546	4.99912	48.0268	110.096	
1	563	4.99824	48.0265	110.093	
1	579	4.99998	48.0294	110.088	
1	596	5.00238	48.0298	110.083	
1	613	5.00805	48.0279	110.081	
1	629	5.00511	48.03	110.077	
1	646	5.01035	48.0325	110.089	
1	663	5.00759	48.0346	110.086	
1	679	5.0184	48.0384	110.096	
1	696	5.01893	48.0423	110.1	
1	713	5.01725	48.0444	110.112	
1	729	5.02455	48.0504	110.119	
1	746	5.0225	48.054	110.134	
1	763	5.02281	48.0599	110.145	
1	779	5.02238	48.0624	110.154	
1	796	5.02324	48.0649	110.163	
1	813	5.01381	48.0699	110.158	
1	829	5.00639	48.0715	110.149	
1	846	4.99794	48.0797	110.149	
1	863	4.9905	48.0762	110.138	
1	879	4.99966	48.0828	110.135	
1	896	4.99878	48.0838	110.134	
1	913	4.99228	48.0886	110.131	
1	929	4.9891	48.0911	110.129	
1	946	4.98722	48.0974	110.128	
1	963	4.97565	48.0973	110.122	
1	979	4.97751	48.1061	110.122	
1	996	4.9661	48.1124	110.13	
1	1013	4.96463	48.1189	110.13	
1	1029	4.95527	48.1208	110.137	
1	1046	4.94596	48.1278	110.13	
1	1063	4.93383	48.1256	110.144	
1	1079	4.92943	48.1327	110.139	
1	1096	4.93039	48.132	110.14	
1	1113	4.92184	48.1268	110.145	
1	1129	4.91261	48.1286	110.15	
1	1146	4.90958	48.1306	110.144	
1	1163	4.91143	48.1294	110.147	
1	1179	4.90871	48.1353	110.147	
1	1196	4.89923	48.1294	110.142	
1	1213	4.89701	48.1302	110.137	
1	1229	4.89688	48.1273	110.143	
1	1246	4.90498	48.1206	110.15	
1	1263	4.90957	48.1158	110.154	
1	1279	4.90812	48.1151	110.164	
1	1296	4.90621	48.1168	110.174	
1	1313	4.90986	48.1143	110.183	
1	1329	4.91191	48.1086	110.193	
1	1346	4.91333	48.1082	110.214	
1	1363	4.91759	48.1106	110.233	
1	1379	4.91405	48.1038	110.24	
1	1396	4.91936	48.1012	110.248	
1	1413	4.91161	48.0909	110.245	
1	1429	4.90811	48.0819	110.248	
1	1446	4.91222	48.081	110.247	
1	1463	4.90558	48.0756	110.245	
1	1479	4.91423	48.0703	110.238	
1	1496	4.91029	48.058	110.228	
1	1513	4.92449	48.0564	110.229	
1	1529	4.92594	48.0464	110.227	
1	1546	4.92697	48.0339	110.221	
1	1563	4.93207	48.0249	110.217	
1	1579	4.9374	48.0164	110.217	
1	1596	4.94622	48.0103	110.222	
1	1613	4.94438	48.0033	110.233	
1	1629	4.95894	47.9934	110.227	
1	1646	4.95487	47.9795	110.226	
1	1663	4.95872	47.968	110.229	
1	1679	4.96861	47.9503	110.23	
1	1696	4.98737	47.9333	110.236	
1	1713	4.99592	47.9119	110.235	
1	1729	5.01293	47.8981	110.231	
1	1746	5.0243	47.8754	110.229	
1	1763	5.04563	47.8561	110.232	
1	1779	5.06196	47.8366	110.224	
1	1796	5.07829	47.8146	110.219	
1	1813	5.09423	47.7972	110.211	
1	1829	5.11515	47.7658	110.213	
1	1846	5.14115	47.7436	110.22	
1	1863	5.17129	47.7138	110.229	
1	1879	5.19962	47.6915	110.238	
1	1896	5.2116	47.6671	110.242	
1	1913	5.24379	47.6502	110.257	
1	1929	5.26415	47.617	110.264	
1	1946	5.29503	47.5978	110.279	
1	1963	5.31351	47.5703	110.298	
1	1979	5.34419	47.552	110.31	
1	1996	5.36364	47.5241	110.324	
1	2013	5.37813	47.4969	110.318	
1	2029	5.39418	47.4755	110.317	
1	2046	5.41549	47.4541	110.312	
1	2063	5.43572	47.4247	110.311	
1	2079	5.46107	47.4043	110.302	
1	2096	5.47723	47.3772	110.303	
1	2113	5.50186	47.3611	110.295	
1	2129	5.51617	47.3379	110.288	
1	2146	5.54665	47.3192	110.288	
1	2163	5.56054	47.3043	110.286	
1	2179	5.57609	47.2845	110.281	
1	2196	5.59459	47.2645	110.281	
1	2213	5.61301	47.2457	110.286	
1	2229	5.63449	47.2257	110.286	
1	2246	5.64575	47.2123	110.281	
1	2263	5.65043	47.1969	110.29	
1	2279	5.67407	47.1795	110.291	
1	2296	5.68571	47.157	110.284	
1	2313	5.7127	47.1351	110.292	
1	2329	5.73224	47.1208	110.291	
1	2346	5.75152	47.0983	110.282	
1	2363	5.7745	47.0807	110.28	
1	2379	5.79206	47.0673	110.271	
1	2396	5.81053	47.0416	110.263	
1	2413	5.83513	47.0279	110.258	
1	2429	5.85148	47.0136	110.262	
1	2446	5.88445	46.9882	110.262	
1	2463	5.90515	46.9614	110.258	
1	2479	5.9435	46.9413	110.278	
1	2496	5.96751	46.9254	110.282	

