Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
2	1013	32.5738	34.8356	101.551	
2	1029	32.5745	34.8085	101.462	
2	1046	32.573	34.8222	101.481	
2	1063	32.5538	34.8388	101.442	
2	1079	32.526	34.9121	101.564	
2	1096	32.5117	34.936	101.537	
2	1113	32.5073	34.9151	101.562	
2	1129	32.5156	34.913	101.528	
2	1146	32.5085	34.9113	101.546	
2	1163	32.509	34.9227	101.523	
2	1179	32.5183	34.9324	101.585	
2	1196	32.5088	34.9257	101.579	
2	1213	32.4956	34.9257	101.663	
2	1229	32.5228	34.8511	101.572	
2	1246	32.5285	34.8243	101.593	
2	1263	32.5337	34.8237	101.602	
2	1279	32.5475	34.8104	101.65	
2	1296	32.5608	34.7972	101.684	
2	1313	32.5433	34.8057	101.681	
2	1329	32.5324	34.7959	101.767	
2	1346	32.5413	34.7937	101.735	
2	1363	32.5355	34.8035	101.756	
2	1379	32.5278	34.7935	101.72	
2	1396	32.5214	34.8174	101.814	
2	1413	32.5379	34.7676	101.757	
2	1429	32.5112	34.7759	101.863	
2	1446	32.4987	34.7995	101.885	
2	1463	32.5101	34.7951	101.96	
2	1479	32.5319	34.7307	101.89	
2	2329	33.2209	31.8105	103.385	
2	2346	33.2369	31.7247	103.394	
2	2363	33.262	31.6226	103.483	
2	2379	33.2915	31.5024	103.508	
2	2396	33.275	31.4143	103.572	
2	2413	33.2505	31.3314	103.592	
2	2429	33.2919	31.202	103.598	
2	2446	33.244	31.0847	103.597	
2	2463	33.2596	31.0134	103.653	
2	2479	33.2814	30.8815	103.642	
2	2496	33.3163	30.742	103.591	
3	-4	26.3844	35.1204	104.618	
3	13	26.393	35.1113	104.654	
3	29	26.4065	35.065	104.609	
3	46	26.4039	35.0956	104.717	
3	63	26.4334	35.0935	104.679	
3	79	26.4324	35.0391	104.633	
3	96	26.4706	35.0217	104.566	
3	113	26.4532	35.053	104.649	
3	129	26.4247	35.0678	104.651	
